config,desi_full,full_mean,full_sig,desi_conn,conn_mean,conn_sig,valid
116,6.44061555e-03,5.91384829e-03,2.31653359e-03,-2.21949687e-03,-2.32891684e-03,2.39038428e-03,1
117,6.27783223e-03,4.78697204e-03,1.38683890e-03,-7.85530008e-04,-1.94852659e-03,1.27979256e-03,1
118,8.23513974e-03,5.67487639e-03,1.31735119e-03,1.79860985e-03,-4.20294754e-04,1.32775878e-03,1
119,3.25117254e-03,3.66912854e-03,1.09526021e-03,-2.21543953e-03,-1.55910359e-03,1.07189618e-03,1
120,4.81184119e-03,3.90138625e-03,6.33511869e-04,-2.79385356e-05,-6.86518395e-04,6.01666396e-04,1
121,3.67868161e-03,3.36345120e-03,5.67357871e-04,-5.34265766e-04,-5.84125962e-04,5.60687490e-04,1
122,1.42005310e-03,2.26148613e-03,1.33126773e-03,-2.44980880e-03,-1.45947950e-03,1.27723082e-03,1
123,3.12891456e-03,2.26854632e-03,6.27617621e-04,-1.14114982e-04,-8.12091827e-04,6.89572322e-04,1
124,2.90786057e-03,2.29032997e-03,7.15257802e-04,2.91663369e-04,-1.49980694e-04,6.94357470e-04,1
125,2.69143794e-03,2.50376076e-03,1.08379926e-03,7.02073092e-04,7.03777585e-04,1.06546063e-03,1
126,8.27102765e-04,2.41208342e-03,1.52897386e-03,-3.04275913e-03,-1.30888221e-03,1.44101186e-03,1
127,1.62690622e-03,2.08989664e-03,7.41444947e-04,-1.61612333e-03,-9.90741507e-04,6.67781842e-04,1
128,1.01197864e-03,1.43695994e-03,5.80703775e-04,-1.60421856e-03,-1.00335072e-03,5.19294197e-04,1
129,7.58056750e-03,5.99965392e-03,1.95065143e-03,1.23072979e-03,-5.59753990e-05,1.89147159e-03,1
130,4.70441016e-03,3.92942781e-03,9.16304525e-04,-4.86773753e-05,-6.18935004e-04,8.43617054e-04,1
131,3.49646804e-03,2.79883424e-03,8.18330505e-04,-6.29787148e-04,-1.10920109e-03,8.34783772e-04,1
132,1.39544125e-03,2.21566241e-03,8.59049510e-04,-1.76089611e-03,-8.25433907e-04,8.07128004e-04,1
133,8.31832281e-04,1.49685477e-03,6.07759296e-04,-1.69767273e-03,-9.03914065e-04,5.24159112e-04,1
134,6.85733986e-04,1.10707249e-03,7.12692806e-04,-1.21693868e-03,-6.53368859e-04,6.71296431e-04,1
135,5.33434988e-03,4.79941145e-03,6.96783899e-04,8.61368945e-04,5.40288009e-04,6.18565889e-04,1
136,4.11884355e-03,3.49494016e-03,4.93837447e-04,2.72694958e-04,-1.23855802e-04,4.56110735e-04,1
137,2.83507374e-03,2.61072739e-03,6.31267185e-04,-4.11570299e-05,-1.41129548e-04,5.84749452e-04,1
138,1.72257819e-03,1.62799422e-03,4.89460930e-04,-5.26820227e-04,-4.83535233e-04,4.50318257e-04,1
139,6.60845958e-04,1.05744755e-03,5.02720447e-04,-9.61720114e-04,-4.13754424e-04,4.83120462e-04,1
140,6.55769121e-04,1.13682438e-03,1.12030426e-03,-1.33359573e-03,-6.63158799e-04,1.09509901e-03,1
141,2.78665424e-03,2.68912538e-03,5.76455996e-04,-8.95765239e-05,-6.27315575e-05,5.03101132e-04,1
142,2.00557982e-03,1.65034478e-03,5.48170300e-04,-2.43818601e-04,-4.61184681e-04,5.08678042e-04,1
143,1.21689239e-03,1.08491980e-03,6.70795322e-04,-4.05673686e-04,-3.86282172e-04,6.21061706e-04,1
144,3.85281179e-03,3.86080596e-03,5.68346091e-04,1.50656503e-04,3.81628237e-04,5.70135509e-04,1
145,2.95282606e-03,3.19161011e-03,5.06510124e-04,2.20588606e-04,5.79371399e-04,4.68719027e-04,1
146,2.47588971e-03,2.17033961e-03,4.97394637e-04,3.70484603e-04,1.98428386e-04,4.54761636e-04,1
147,1.19071591e-03,1.02942303e-03,4.84313922e-04,-2.87856852e-04,-3.02160711e-04,4.70019397e-04,1
148,2.64087054e-03,3.65934368e-03,1.69596274e-03,-1.39869247e-03,-2.09149821e-04,1.65396604e-03,1
149,9.41620798e-04,1.79989528e-03,1.20002708e-03,-1.50119203e-03,-5.61331724e-04,1.18654021e-03,1
150,-1.22380740e-03,1.07278241e-03,7.54063936e-04,-3.03978788e-03,-6.48117110e-04,7.02143323e-04,1
151,3.23809963e-03,3.64074698e-03,7.41038959e-04,-5.21356774e-04,6.14928569e-05,6.56036504e-04,1
152,1.05557607e-03,1.67471299e-03,6.13467329e-04,-1.10713017e-03,-3.97274636e-04,5.61185904e-04,1
153,2.00935259e-04,8.61886379e-04,3.84228556e-04,-1.33493863e-03,-5.69773763e-04,3.70620787e-04,1
154,2.39972013e-03,2.88655994e-03,8.76418739e-04,-1.07962968e-03,-4.03454809e-04,8.26967362e-04,1
155,4.83051786e-04,1.16988012e-03,6.55331643e-04,-1.39954785e-03,-6.12868130e-04,6.33225828e-04,1
156,2.32662075e-04,5.34360622e-04,5.51837323e-04,-1.02310522e-03,-6.08060144e-04,5.14728959e-04,1
157,8.64810641e-04,1.25883493e-03,7.04928893e-04,-1.01778900e-03,-5.23913317e-04,6.80283661e-04,1
158,5.57326438e-04,8.39736615e-04,7.66824185e-04,-6.98440854e-04,-3.02684150e-04,7.44680007e-04,1
159,3.29788143e-03,4.13441224e-03,7.72938163e-04,-3.17581674e-04,6.94776347e-04,7.64134484e-04,1
160,1.81852145e-03,2.40952663e-03,6.36416525e-04,-2.00191478e-04,4.77157231e-04,6.07726613e-04,1
161,1.21368639e-03,1.17324389e-03,4.40867276e-04,-1.78194188e-04,-1.18798022e-04,4.24721065e-04,1
162,4.04228136e-03,3.50373833e-03,6.03952845e-04,7.06924853e-04,3.53341809e-04,5.68292592e-04,1
163,9.81365235e-04,1.57261774e-03,5.21891988e-04,-7.57241094e-04,-7.05122762e-05,4.84586253e-04,1
164,6.59462303e-04,6.54750882e-04,4.46018862e-04,-4.52311680e-04,-3.48051653e-04,4.26698370e-04,1
165,1.98229261e-03,3.04847334e-03,9.28951677e-04,-1.20907059e-03,3.76950473e-05,8.80381022e-04,1
166,1.30638489e-03,1.34418368e-03,6.33773011e-04,-2.88228133e-04,-1.59328104e-04,6.33566365e-04,1
167,6.02767046e-04,8.29811703e-04,7.02451670e-04,-3.65013628e-04,-3.33726020e-05,6.72189433e-04,1
168,-1.86333236e-03,1.54210733e-03,2.14667598e-03,-3.59262066e-03,-1.39250359e-04,2.14688836e-03,1
169,-3.86181083e-04,1.03072853e-03,9.76305855e-04,-1.83536279e-03,-3.61389780e-04,9.41824921e-04,1
170,-7.00397797e-04,5.47500552e-04,6.66802702e-04,-1.86947290e-03,-5.55378383e-04,6.45113440e-04,1
171,-9.62817473e-04,1.54590673e-04,9.30016194e-04,-1.85178598e-03,-6.59048885e-04,8.97979867e-04,1
172,-2.17790607e-04,7.78773065e-04,9.49385052e-04,-1.10675912e-03,-3.48664928e-05,9.32678785e-04,1
173,1.42522451e-03,1.43653553e-03,8.89545207e-04,1.20036120e-04,1.84035446e-04,8.90899319e-04,1
174,-1.21815864e-04,6.85361476e-04,6.73412630e-04,-1.14689766e-03,-2.77899228e-04,6.49273653e-04,1
175,1.54379770e-04,2.58434439e-04,4.21533870e-04,-5.90595432e-04,-4.15586889e-04,4.01981306e-04,1
176,5.94063995e-04,4.67481889e-04,8.41451654e-04,-2.87024494e-04,-3.56160585e-04,8.25375418e-04,1
177,1.06966242e-04,2.56943023e-04,7.42059292e-04,-4.94015652e-04,-2.77460074e-04,7.34437553e-04,1
178,-6.58621578e-04,4.17143446e-04,1.61833368e-03,-1.11561016e-03,2.23585787e-05,1.62260357e-03,1
