config,r12,r13,r14,r23,r24,r34
201,25.625,48.125,59.375,59.375,48.125,48.125
202,25.625,48.125,59.375,59.375,48.125,59.375
203,25.625,48.125,59.375,59.375,59.375,25.625
204,25.625,48.125,59.375,59.375,59.375,36.875
205,25.625,48.125,59.375,59.375,59.375,48.125
206,25.625,48.125,59.375,59.375,59.375,59.375
207,25.625,59.375,59.375,59.375,59.375,25.625
208,25.625,59.375,59.375,59.375,59.375,36.875
209,25.625,59.375,59.375,59.375,59.375,48.125
210,25.625,59.375,59.375,59.375,59.375,59.375
211,36.875,36.875,36.875,36.875,36.875,36.875
212,36.875,36.875,36.875,36.875,36.875,48.125
213,36.875,36.875,36.875,36.875,36.875,59.375
214,36.875,36.875,36.875,36.875,48.125,48.125
215,36.875,36.875,36.875,36.875,48.125,59.375
216,36.875,36.875,36.875,36.875,59.375,59.375
217,36.875,36.875,36.875,48.125,48.125,48.125
218,36.875,36.875,36.875,48.125,48.125,59.375
219,36.875,36.875,36.875,48.125,59.375,59.375
220,36.875,36.875,36.875,59.375,59.375,59.375
221,36.875,36.875,48.125,36.875,48.125,48.125
222,36.875,36.875,48.125,36.875,48.125,59.375
223,36.875,36.875,48.125,36.875,59.375,59.375
224,36.875,36.875,48.125,48.125,36.875,36.875
225,36.875,36.875,48.125,48.125,36.875,48.125
226,36.875,36.875,48.125,48.125,36.875,59.375
227,36.875,36.875,48.125,48.125,48.125,48.125
228,36.875,36.875,48.125,48.125,48.125,59.375
229,36.875,36.875,48.125,48.125,59.375,59.375
230,36.875,36.875,48.125,59.375,36.875,36.875
231,36.875,36.875,48.125,59.375,36.875,48.125
232,36.875,36.875,48.125,59.375,36.875,59.375
233,36.875,36.875,48.125,59.375,48.125,48.125
234,36.875,36.875,48.125,59.375,48.125,59.375
235,36.875,36.875,48.125,59.375,59.375,59.375
236,36.875,36.875,59.375,36.875,59.375,59.375
237,36.875,36.875,59.375,48.125,48.125,48.125
238,36.875,36.875,59.375,48.125,48.125,59.375
